Your First Token Minting Transaction URL,Your Second Token Minting Transaction URL,Your Add Liquidity Transaction URL,Your Swap Transaction URL,Your wallet address,,Eligible,Comment,,,
https://explorer.mantle.xyz/tx/0x5c4603a682549f510614eb94f0c2bb963797f4e90650e9a8729ed21acf634562,https://explorer.mantle.xyz/tx/0x5f0b3a059b3da4ac21057d20ef716e57aabdb2510cb42dee92ba73456e5e1b1c,https://explorer.mantle.xyz/tx/0x007bc4e77cef07befbaf87cd826103ce45e380c93ea8b10099cef71013ec07e0,https://explorer.mantle.xyz/tx/0x9ef9b7479f113e0f89ed9b49fc53c52db6d87513a22009fa1ae68a230366683e,0x58Ef73A55041e2763B8a40f1186f5AC9637Ba11e,,√,All correct,,,
https://explorer.mantle.xyz/tx/0x3236b60dd8443fba694835f48910771b1b36386328b3fb6b90ef75e15fcc2b39,https://explorer.mantle.xyz/tx/0xc97cd6f521591d41f61c08f53024a8774501302c5a1abfb5cfdf1fc3b7b43907,https://explorer.mantle.xyz/tx/0xac0dc75fadd641674567069e91aa10196c29db9b0f7234f32683085052a1fbc8,https://explorer.mantle.xyz/tx/0x4cad2308eb5deddbde832043b36a9a0dffc9d674f787283bb0de1a1efb1cf742,0x36d4B301334EDdCf5FF9603750A81C4799Ed9f44,,√,All correct,,,
https://explorer.mantle.xyz/tx/0x1a7a2c90a966a7bb6d2aa54501b64205d747109154fcbb6aab6f0f4ef6ccf884,https://explorer.mantle.xyz/tx/0x2d4261be78480060561f98794190a1422e14aa48aa455af77a44689d10d742be,https://explorer.mantle.xyz/tx/0x84c41c814140b8e13dd378c704da121cd4b2bc5304e49f929ac9fc1911d42b61,https://explorer.mantle.xyz/tx/0x68dbd1d8f6838e4fe7e3acb9d018111d336b5ca83a3d9071d5373fefb330060b,0xAf56f281ce9c85DfD9Ee6134B6c1D6c1702e3F3D,,－,second minting incorrect,,,
https://explorer.mantle.xyz/tx/0x2f1f1339f85346772fee922eb6aa0f8c160251a11ecd0ee15d4d7b016315004c,https://explorer.mantle.xyz/tx/0x15ef5bb39e3e9f440b6325b0dbfe9d401513c0dd11ab583f2f06f0a7fe710b85,https://explorer.mantle.xyz/tx/0xd82cb04ba1985866a78c175c4687d1641c7555297a66785d1b8134eb241c396f,https://explorer.mantle.xyz/tx/0xd23e27ddbbf3df132a944bdaff0ea473a60f059825f90490e611ec3d0c03df89,0xBBa365745C238D41de235f0bFBa8d8bB49D10bE5,,√,All correct,,,
https://explorer.mantle.xyz/tx/0xe0884544936258424ff8cab9af5271da326bfabcee7f379cd9fa051245ec4993,https://explorer.mantle.xyz/token/0x3560A5422aA3a2162537D6f661Be38d9fCe51A1D/token-transfers,https://explorer.mantle.xyz/token/0x676bBFAf7d7Ca4948E12526698aF38aD8f36B8EB/token-transfers,https://explorer.mantle.xyz/tx/0x3b5007df554d0d37e077f08a6e422ebabb95e5a472133fb4331682a4ae41e6fd,0x232650dea5d673f9ab0E85328c7964b1737948e7,,－,"First and second minting incorrect, wrong LP transaction",,,
https://explorer.mantle.xyz/tx/0xbc71867eac7854c04584776760beecf28f2e2125cf7153f7c8a5a852e46b8a85,https://explorer.mantle.xyz/tx/0x14720c4a58f7b77b40296a92a46cf366ea19e4ca6c72ef80607fbb7ff771594f,https://explorer.mantle.xyz/tx/0x8d36160cb30b3fad4066139d0abd604090e4d8b0a0bc97a36ece0405657f9298,https://explorer.mantle.xyz/tx/0x0ba34b5a0604d822614929f5742dfa4b2b79b3c9e5d7104278edd2fee16f463d,0x1fBBD9803F74D43AcED0b10A9FCA4fe61cb245e9,,√,All correct,,,
https://explorer.testnet.mantle.xyz/tx/0xd576bbd9ff2f9279b503b091851190978f0e6ac60f6f53d8a829dd7fb7feba2d,https://explorer.testnet.mantle.xyz/tx/0x93133098a270b4f9ac7e9f674347ffe835831c593b925b609c4a74e71a148c4f,https://explorer.testnet.mantle.xyz/tx/0x37fad932689e5a272e85c31c23e944f2e6a3debff57b3a4c206b8933b3f3ecd4,https://explorer.testnet.mantle.xyz/tx/0xcfba200326e36e648eefb670cae214959d8e7fa0e6a570cdbc86fa44f2fea653,0x4191f1C367D65d1ffB80E01EDb9cf285F1dA29a0,,－,"First and second minting incorrect, wrong LP transaction, wrong swap transaction",,,
https://explorer.mantle.xyz/tx/0xfcb41df1eef48a8d0ff9fe9f6a9fcbb1efbecb66ab654ee5508f4fc0e6a65a2b,https://explorer.mantle.xyz/tx/0xfdbc82d23dd44b25237fdc33b727b1bc1a579be3fbcc0c91e3c573669b59a7df,https://explorer.mantle.xyz/tx/0x31c5e4ae67e2afb2b085627c40a623f8b6c43d2a0eaf6ef49cc8f3b2d5178ba7,https://explorer.mantle.xyz/tx/0xc334afd02aff88de4f681b781dff30a77a8a46e06cb1aa57a5fa0c0dfbf867b9,0xa9941a98f02fa61148Bc21c24EfA63c3947EB2e4,,√,All correct,,,
https://explorer.mantle.xyz/tx/0xd9cb27bfddf2f0f27c668803e76fcba3303229b358c278fb38971209b81bb398,https://explorer.mantle.xyz/tx/0xeb997f4fe8e0efdeaa1101f6a6f09f3c6035f7de0fb3146e61b7a223c3881f5e,https://explorer.mantle.xyz/tx/0x57f1a0770fda566632e7dcf207026c960dd6c5668fc19e2af41f9c39e7ac1ab4,https://explorer.mantle.xyz/tx/0x7e9c3219ce2beef513fb4c4b16daaf12161e7fa4fcb0f7702a8c2fb494995a8e,0xdceDea1D522fcA7aAaAa67e8f70C474cE3471aA5,,√,All correct,,,
https://explorer.mantle.xyz/tx/0xb8f2362e1213848a3bd1d7c6c678ba3661817fa07d8f7d55b938e7b8580e69e6,https://explorer.mantle.xyz/tx/0x3353f4de9049e9d57cc99e54d69bf7d5459827426d5700f3f5c11e86d9ab6722,https://explorer.mantle.xyz/tx/0x92720c3cd95b69e72c2e785f0202649d9fe381c0670e4bb9cb0777bb559f2e31,https://explorer.mantle.xyz/tx/0x41de05f91ea2a473c9b9d01a3adfbdaeaad44ed7c6c7104eb6986f1a05f76174,0x1f29E207F26a5e6aC45ca033994eEDA5993a5D64,,√,All correct,,,
